360	448
29	447
15	53
261	491
219	354
77	177
262	473
95	344
84	375
241	320
143	388
24	447
152	260
3	382
192	223
37	387
102	362
125	153
135	438
375	460
55	230
191	198
74	336
62	112
319	377
146	416
116	207
108	237
143	247
288	387
105	258
17	408
218	451
118	358
72	238
51	457
80	226
162	297
135	220
267	273
117	169
152	405
243	289
241	401
223	380
14	168
223	416
222	457
105	371
36	65
153	319
67	167
297	331
188	463
225	230
21	298
57	297
141	286
151	290
34	271
230	365
4	486
262	484
292	450
253	428
49	245
141	210
325	362
294	359
17	411
171	223
77	278
371	416
41	335
93	486
357	413
358	478
116	458
75	440
145	155
8	29
215	275
133	290
6	441
98	232
78	441
29	67
39	291
81	202
477	481
401	478
63	284
89	212
360	373
315	372
13	191
102	453
334	380
234	278
215	282
48	469
290	438
60	416
73	362
154	494
62	128
22	89
159	174
375	490
393	460
317	350
232	372
443	470
202	314
0	126
352	445
113	405
248	393
220	477
46	102
285	326
19	443
357	372
50	435
394	416
294	448
88	269
228	435
96	126
324	347
389	424
143	253
23	292
286	474
144	155
246	395
271	457
37	84
34	477
282	379
0	158
5	452
211	280
138	286
251	319
226	392
185	264
17	416
62	323
115	462
8	141
351	436
403	412
253	318
170	188
118	499
160	211
329	357
36	315
75	317
36	295
124	486
335	471
51	410
40	474
20	127
63	227
26	267
152	384
279	318
23	368
321	441
286	380
193	254
22	356
298	367
34	107
149	162
62	377
38	193
112	259
76	170
80	393
154	369
497	498
32	476
349	398
26	406
16	114
123	320
28	196
55	221
62	361
98	306
115	411
186	262
129	287
111	388
340	400
153	422
389	447
277	355
77	417
149	428
168	499
40	99
171	222
161	477
151	231
1	83
261	477
22	241
158	204
53	389
78	256
307	375
123	335
2	406
3	70
132	381
210	229
39	66
65	304
174	299
17	330
113	242
322	412
389	479
446	472
357	460
278	484
229	345
70	117
81	140
24	196
7	407
102	433
364	457
225	307
258	286
20	113
1	64
156	467
126	130
7	201
80	175
204	229
72	394
55	352
19	489
53	320
75	471
119	180
114	264
96	338
83	437
56	242
410	469
170	307
225	406
177	423
139	478
217	351
39	55
44	343
146	308
33	54
45	307
231	487
281	311
181	254
329	490
75	110
136	464
204	245
40	468
272	397
154	343
245	344
224	264
315	438
45	488
294	456
12	122
59	408
251	305
37	217
67	460
300	333
333	416
34	483
181	210
453	469
156	375
65	268
12	130
93	377
169	253
391	415
64	358
208	378
278	471
56	293
10	227
156	383
346	400
75	463
36	212
36	254
51	486
383	389
103	220
265	459
131	417
36	86
219	368
466	496
8	363
37	349
13	385
273	379
52	333
18	482
322	483
165	206
120	350
100	435
282	484
69	268
52	380
373	406
81	142
388	418
16	235
158	445
101	379
11	167
184	481
217	270
26	181
131	265
66	189
0	479
45	124
44	371
266	498
53	78
2	145
70	447
82	467
8	307
259	407
106	304
25	166
76	311
65	315
179	186
109	286
133	158
103	377
187	384
104	195
100	345
230	309
206	358
357	363
364	389
86	366
210	246
209	477
111	290
213	354
206	406
361	371
6	176
13	143
56	294
137	225
76	466
285	346
94	438
103	378
57	93
227	376
221	248
390	401
163	203
171	298
32	305
183	331
477	487
170	266
218	291
47	433
114	209
31	182
11	196
46	96
480	483
306	345
82	212
361	447
257	468
157	189
272	393
313	352
122	167
242	267
16	64
221	396
102	256
191	207
351	467
291	490
109	381
61	378
138	249
54	478
259	482
31	406
179	319
161	445
254	299
159	475
196	308
22	133
136	405
221	440
42	452
26	456
345	419
192	335
358	403
35	57
339	390
41	344
399	499
180	273
180	472
323	481
123	379
0	316
349	368
203	399
280	389
422	454
256	301
86	350
175	297
125	487
72	311
70	319
5	60
138	143
64	117
262	452
129	472
122	238
258	388
84	358
58	66
146	446
132	229
131	322
197	358
38	240
171	334
88	148
2	472
98	452
371	450
207	473
93	363
275	396
22	375
292	399
287	414
435	477
5	166
29	65
339	477
350	383
13	427
185	341
24	252
15	446
144	167
155	192
1	124
36	243
192	245
21	161
104	140
4	202
204	436
343	361
247	427
26	363
9	42
310	332
376	489
261	298
273	329
383	490
293	471
21	81
410	487
151	430
126	401
30	269
314	353
130	334
3	224
189	210
61	191
69	205
264	330
89	275
112	479
142	227
365	489
6	478
59	247
143	240
239	322
378	481
308	354
336	361
16	499
0	353
184	380
51	143
12	201
14	130
163	259
32	126
131	256
402	424
38	192
190	472
158	417
386	412
361	461
90	210
177	410
233	255
222	433
67	134
93	297
144	296
88	271
13	277
269	330
377	411
42	270
88	117
20	292
137	258
86	263
14	109
46	68
409	480
17	286
270	404
16	344
46	432
68	404
346	469
143	296
31	57
57	189
77	359
294	303
19	153
34	96
274	344
258	304
166	267
131	183
165	403
91	160
155	436
56	102
296	446
370	449
292	352
84	461
329	358
114	446
76	359
36	150
42	257
90	425
100	152
128	412
13	415
208	321
92	447
101	251
192	283
207	423
101	120
183	247
306	443
50	271
180	305
325	343
358	432
247	322
365	458
177	491
98	470
49	193
104	282
289	360
33	358
281	355
93	287
28	155
110	302
413	474
144	147
